date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:45	105137/105137	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-19ab1%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%203.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%203.pdf	(from https://mohamedbanane.com/)
10:10:45	868677/868677	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-d4145%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-4.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-4.png	(from https://mohamedbanane.com/)
10:10:45	75186/75186	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-125b2%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%204.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%204.png	(from https://mohamedbanane.com/)
10:10:45	105153/105153	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-19ac1%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%204.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%204.pdf	(from https://mohamedbanane.com/)
10:10:45	796092/796092	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-c25bc%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-5.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-5.png	(from https://mohamedbanane.com/)
10:10:46	83896/83896	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-147b8%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%205.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%205.png	(from https://mohamedbanane.com/)
10:10:46	105138/105138	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-19ab2%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%205.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%205.pdf	(from https://mohamedbanane.com/)
10:10:46	215316/215316	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-34914%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-HTML.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-HTML.png	(from https://mohamedbanane.com/)
10:10:46	214817/214817	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-34721%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-HTML.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-HTML.pdf	(from https://mohamedbanane.com/)
10:10:47	212895/212895	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-33f9f%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-CSS.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-CSS.png	(from https://mohamedbanane.com/)
10:10:47	199543/199543	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-30b77%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-CSS.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-CSS.pdf	(from https://mohamedbanane.com/)
10:10:47	85487/85487	---M--	200	added ('OK')	image/jpeg	etag:%2267c8dc5a-14def%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-Python.jpg	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-Python.jpg	(from https://mohamedbanane.com/)
10:10:47	200922/200922	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-310da%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-Python.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-Python.pdf	(from https://mohamedbanane.com/)
10:10:47	87393/87393	---M--	200	added ('OK')	image/jpeg	etag:%2267c8dc5a-15561%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-JavaScript.jpg	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-JavaScript.jpg	(from https://mohamedbanane.com/)
10:10:48	203009/203009	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-31901%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-JavaScript.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Introduction-to-JavaScript.pdf	(from https://mohamedbanane.com/)
10:10:48	319647/319647	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-4e09f%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Google-Cybersecurity-Certificat-Professionnel.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Google-Cybersecurity-Certificat-Professionnel.png	(from https://mohamedbanane.com/)
10:10:48	353764/353764	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-565e4%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Google-Cybersecurity-Certificat-Professionnel.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Google-Cybersecurity-Certificat-Professionnel.pdf	(from https://mohamedbanane.com/)
10:10:48	40861/40861	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-9f9d%22	https://mohamedbanane.com/portfolio/img/icons%20langages/HTML-icon.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/icons%20langages/HTML-icon.png	(from https://mohamedbanane.com/)
10:10:48	93690/93690	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-16dfa%22	https://mohamedbanane.com/portfolio/img/icons%20langages/CSS-icon.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/icons%20langages/CSS-icon.png	(from https://mohamedbanane.com/)
10:10:48	17096/17096	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-42c8%22	https://mohamedbanane.com/portfolio/img/icons%20langages/JS-icon.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/icons%20langages/JS-icon.png	(from https://mohamedbanane.com/)
10:10:49	75404/75404	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-1268c%22	https://mohamedbanane.com/portfolio/img/icons%20langages/JAVA-icon.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/icons%20langages/JAVA-icon.png	(from https://mohamedbanane.com/)
10:10:49	92507/92507	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-1695b%22	https://mohamedbanane.com/portfolio/img/icons%20langages/PHP-icon.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/icons%20langages/PHP-icon.png	(from https://mohamedbanane.com/)
